Designator,Mid X,Mid Y,Rotation,Layer
BATT1,72.25,-38.23,90.0,top
C1,26.5,-26.949999,270.0,top
C10,17.5,-23.25,180.0,top
C11,48.25,-37.462501,270.0,top
C2,44.75,-26.949999,270.0,top
C4,34.2,-35.25,0.0,top
C5,19.75,-15.75,180.0,top
C6,25.5,-34.462501,270.0,top
C7,67.75,-32.800001,90.0,top
C8,63.25,-13.287499,90.0,top
CC1,40.23,-45.75,180.0,top
CD1,19.550001,-9.0,180.0,top
CD2,24.75,-6.050001,90.0,top
CD3,23.0,-9.699999,270.0,top
CD4,51.800001,-4.0,180.0,top
CD5,8.199999,-28.0,0.0,top
CD6,59.0,-24.550001,90.0,top
CD7,16.75,-47.449999,270.0,top
CD8,45.25,-45.300001,90.0,top
CD9,15.75,0.550001,270.0,top
D1,15.0,-10.0,90.0,top
D10,50.25,0.0,180.0,top
D11,55.5,-28.499999,270.0,top
D12,67.25,-46.975001,270.0,top
D13,65.0,-46.975001,270.0,top
D14,40.75,-35.5,0.0,top
D15,-1.25,-38.000001,90.0,top
D2,19.500001,-41.25,0.0,top
D3,64.500001,-6.25,180.0,top
D4,50.75,-11.524999,90.0,top
D5,21.75,-0.15,0.0,top
D6,8.9,-23.0,90.0,top
D7,21.55,-46.35,180.0,top
D8,50.2,-46.35,180.0,top
D9,63.15,-23.05,90.0,top
F1,49.5,-27.9875,270.0,top
J1,9.96,-0.5,180.0,top
J2,72.0,-8.21,90.0,top
J3,59.29,-45.25,0.0,top
J4,-1.265,-28.25,270.0,top
L1,18.75,-37.0,0.0,top
L2,21.6875,-7.0,0.0,top
L3,40.0,-40.0,0.0,top
PORT1,60.5,-0.5,180.0,top
PORT2,71.75,-29.375,90.0,top
PORT3,71.75,-18.375,90.0,top
PROG1,39.625,-27.6,180.0,top
Q1,10.0,-8.649999,270.0,top
Q2,62.100001,-30.5,0.0,top
Q3,11.8,-39.5,90.0,top
Q4,7.75,-39.562499,90.0,top
Q5,3.25,-39.562499,90.0,top
Q7,27.8,-43.9375,90.0,top
R1,47.0,-26.9125,90.0,top
R10,33.1875,-45.75,0.0,top
R11,12.75,-31.8375,270.0,top
R12,11.8375,-36.0,180.0,top
R13,8.75,-31.8375,270.0,top
R14,67.25,-43.0875,270.0,top
R15,65.0,-43.0875,270.0,top
R16,7.8375,-36.0,180.0,top
R17,6.25,-31.8375,270.0,top
R18,57.0875,-36.5,0.0,top
R2,48.25,-7.3375,270.0,top
R21,3.3375,-36.0,180.0,top
R22,27.8375,-47.25,180.0,top
R26,31.6625,-43.0,0.0,top
R27,3.75,-31.0725,90.0,top
R28,3.75,-25.4975,270.0,top
R3,67.75,-19.9625,90.0,top
R4,24.25,-26.9125,270.0,top
R5,15.9125,-6.0,0.0,top
R6,50.75,-7.4125,270.0,top
R7,52.5,-29.5875,270.0,top
R8,55.5625,-39.5,0.0,top
RST1,31.625,-27.6,180.0,top
STRIP1,9.75,-45.75,180.0,top
U1,18.655,-30.775,0.0,top
U2,34.3875,-32.300001,0.0,top
U3,36.0,-14.0,0.0,top
U4,63.9775,-37.595,180.0,top
U5,33.0915,-39.365,90.0,top
VDC1,1.875,-18.3425,0.0,top
